0.8847892450006346		SimpleArgument(1842 in Oulu,List([0, 12)))	Relation(acquired,List([30, 38)))	SimpleArgument(his maritime schooling in Helsinki,List([39, 73)))	1842 in Oulu, Finland - 1908) acquired his maritime schooling in Helsinki, Finland.
0.9303010529597994		SimpleArgument(Captain Niebaum,List([37, 52)))	Relation(founded the Alaskan Commercial Company in San Francisco Among,List([0, 5), [53, 98), [99, 108)))	SpatialArgument(his many known accomplishments,List([6, 36)))	Among his many known accomplishments Captain Niebaum founded the Alaskan Commercial Company in San Francisco, California.
0.9382554258342916		SimpleArgument(Captain Niebaum,List([37, 52)))	Relation(founded,List([53, 60)))	SimpleArgument(the Alaskan Commercial Company in San Francisco,List([61, 108)))	Among his many known accomplishments Captain Niebaum founded the Alaskan Commercial Company in San Francisco, California.
0.9605824069728295		SimpleArgument(Captain Niebaum,List([0, 15)))	Relation(prepared,List([16, 24)))	SimpleArgument(some of the first official maps of the coastline of Alaska,List([25, 83)))	Captain Niebaum prepared some of the first official maps of the coastline of Alaska.
0.9135738730972812		SimpleArgument(US,List([56, 58)))	Relation(bought Alaska,List([59, 65), [66, 72)))	SpatialArgument(the Alaska purchase,List([25, 44)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
0.876543225140763		SimpleArgument(US,List([56, 58)))	Relation(bought Alaska from,List([59, 65), [66, 72), [73, 77)))	SimpleArgument(Russia,List([78, 84)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
0.876543225140763		SimpleArgument(US,List([56, 58)))	Relation(bought,List([59, 65)))	SimpleArgument(Alaska,List([66, 72)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
0.9774669073079192		SimpleArgument(the Consul of Russia in the United States in 1867,List([3, 52)))	Relation(helped explore the territory at,List([55, 131), [132, 143), [144, 153)))	TemporalArgument(the time Finland was an autonomous Grand Duchy of Russia ) Niebaum,List([58, 124)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
0.9585506511758459		SimpleArgument(the Consul of Russia in the United States in 1867,List([3, 52)))	Relation(helped explore,List([125, 139)))	SimpleArgument(the territory,List([140, 153)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
0.9439070193972718		SimpleArgument(Finland,List([67, 74)))	Relation(was an autonomous Grand Duchy of Russia ) Niebaum at,List([55, 57), [75, 116), [117, 124)))	TemporalArgument(the time,List([58, 66)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
0.9481947648689547		SimpleArgument(Finland,List([67, 74)))	Relation(was,List([75, 78)))	SimpleArgument(an autonomous Grand Duchy of Russia ) Niebaum,List([79, 124)))	As the Consul of Russia in the United States in 1867 (at the time Finland was an autonomous Grand Duchy of Russia) Niebaum helped explore the territory and promoted ratification of the Alaska purchase, by which US bought Alaska from Russia.
