0.9817360032124585		SimpleArgument(Jerold Don Ottley (born April 7, 1934,List([0, 37)))	Relation(was,List([39, 42)))	SimpleArgument(the music director of the Mormon Tabernacle Choir from 1974 to 1999,List([43, 110)))	Jerold Don Ottley (born April 7, 1934) was the music director of the Mormon Tabernacle Choir from 1974 to 1999.
0.949419443712137		SimpleArgument(Jerold Don Ottley,List([0, 17)))	Relation(born,List([19, 23)))	TemporalArgument(April 7, 1934,List([24, 37)))	Jerold Don Ottley (born April 7, 1934) was the music director of the Mormon Tabernacle Choir from 1974 to 1999.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the performance of nearly thirteen hundred weekly television broadcasts of the Spoken Word,List([35, 125)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the performance of nearly thirteen hundred weekly television broadcasts of Music,List([35, 115)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the performance of nearly thirteen hundred weekly radio broadcasts of the Spoken Word,List([35, 120)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the performance of nearly thirteen hundred weekly radio broadcasts of Music,List([35, 110)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the preparation of nearly thirteen hundred weekly television broadcasts of the Spoken Word,List([35, 125)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the preparation of nearly thirteen hundred weekly television broadcasts of Music,List([35, 115)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the preparation of nearly thirteen hundred weekly radio broadcasts of the Spoken Word,List([35, 120)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.819715043577171		SimpleArgument(His duties with the choir,List([0, 25)))	Relation(included,List([26, 34)))	SimpleArgument(the preparation of nearly thirteen hundred weekly radio broadcasts of Music,List([35, 110)))	His duties with the choir included the preparation and performance of nearly thirteen hundred weekly radio and television broadcasts of Music and the Spoken Word.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(led the choir in,List([8, 11), [12, 21), [22, 24)))	SpatialArgument(more than twenty major tours,List([25, 53)))	He also led the choir in more than thirty commercial recordings and more than twenty major tours, in addition to regular concerts in the choir's home in the Salt Lake Tabernacle.
0.4802217740069371		SimpleArgument(He,List([0, 2)))	Relation(led,List([8, 11)))	SimpleArgument(the choir,List([12, 21)))	He also led the choir in more than thirty commercial recordings and more than twenty major tours, in addition to regular concerts in the choir's home in the Salt Lake Tabernacle.
0.3853208301752743		SimpleArgument(Ottley,List([22, 28)))	Relation(was a conductor in,List([29, 47)))	SimpleArgument(the churches,List([48, 60)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9025842810621526		SimpleArgument(Ottley,List([22, 28)))	Relation(was a conductor in the churches of Salt Lake City,List([29, 32), [33, 78)))	TemporalArgument(Early in his career,List([0, 19)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9481947648689547		SimpleArgument(Ottley,List([22, 28)))	Relation(was,List([29, 32)))	SimpleArgument(a conductor in the churches of Salt Lake City,List([33, 78)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.3853208301752743		SimpleArgument(Ottley,List([22, 28)))	Relation(was a conductor in,List([29, 47)))	SimpleArgument(the schools,List([48, 59)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9025842810621526		SimpleArgument(Ottley,List([22, 28)))	Relation(was a conductor in the schools,List([29, 32), [33, 59)))	TemporalArgument(Early in his career,List([0, 19)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9383119524695255		SimpleArgument(Ottley,List([22, 28)))	Relation(was,List([29, 32)))	SimpleArgument(a conductor in the schools,List([33, 59)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.3853208301752743		SimpleArgument(Ottley,List([22, 28)))	Relation(was a teacher in,List([29, 45)))	SimpleArgument(the churches,List([46, 58)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9025842810621526		SimpleArgument(Ottley,List([22, 28)))	Relation(was a teacher in the churches of Salt Lake City,List([29, 32), [33, 76)))	TemporalArgument(Early in his career,List([0, 19)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9481947648689547		SimpleArgument(Ottley,List([22, 28)))	Relation(was,List([29, 32)))	SimpleArgument(a teacher in the churches of Salt Lake City,List([33, 76)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.3853208301752743		SimpleArgument(Ottley,List([22, 28)))	Relation(was a teacher in,List([29, 45)))	SimpleArgument(the schools,List([46, 57)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9025842810621526		SimpleArgument(Ottley,List([22, 28)))	Relation(was a teacher in the schools,List([29, 32), [33, 57)))	TemporalArgument(Early in his career,List([0, 19)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.9383119524695255		SimpleArgument(Ottley,List([22, 28)))	Relation(was,List([29, 32)))	SimpleArgument(a teacher in the schools,List([33, 57)))	Early in his career, Ottley was a teacher and conductor in the schools and churches of Salt Lake City.
0.44478979574111255		SimpleArgument(he,List([58, 60)))	Relation(served as the assistant chair of the music department,List([61, 67), [68, 114)))	TemporalArgument(Just prior to his appointment with the Tabernacle Choir,List([0, 55)))	Just prior to his appointment with the Tabernacle Choir, he taught on the music faculty at the University of Utah and served as the assistant chair of the music department.
0.45170382506656653		SimpleArgument(he,List([58, 60)))	Relation(served as,List([61, 67), [68, 70)))	SimpleArgument(the assistant chair of the music department,List([71, 114)))	Just prior to his appointment with the Tabernacle Choir, he taught on the music faculty at the University of Utah and served as the assistant chair of the music department.
0.44478979574111255		SimpleArgument(he,List([58, 60)))	Relation(taught,List([61, 67)))	TemporalArgument(Just prior to his appointment with the Tabernacle Choir,List([0, 55)))	Just prior to his appointment with the Tabernacle Choir, he taught on the music faculty at the University of Utah and served as the assistant chair of the music department.
0.3929209860966329		SimpleArgument(he,List([58, 60)))	Relation(taught at,List([61, 67), [89, 91)))	SpatialArgument(the University of Utah,List([92, 114)))	Just prior to his appointment with the Tabernacle Choir, he taught on the music faculty at the University of Utah and served as the assistant chair of the music department.
0.45170382506656653		SimpleArgument(he,List([58, 60)))	Relation(taught on,List([61, 67), [68, 70)))	SpatialArgument(the music faculty,List([71, 88)))	Just prior to his appointment with the Tabernacle Choir, he taught on the music faculty at the University of Utah and served as the assistant chair of the music department.
