0.9990000128746033		SimpleArgument(We,List([0, 0)))	Relation(stock,List([0, 0)))	SimpleArgument(over 18 varieties,List(null))	We stock over 18 varieties of 3 lb packages of frozen cookie dough.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(stock over,List([3, 8), [9, 13)))	SimpleArgument(18 varieties of 3 lb packages of frozen cookie dough,List([14, 66)))	We stock over 18 varieties of 3 lb packages of frozen cookie dough.
0.8131408756488548		SimpleArgument(fund,List([48, 52)))	Relation(raising,List([53, 60)))	SimpleArgument(purposes,List([61, 69)))	Our cookie dough is widely used by schools and churches for fund raising purposes.
0.6601056213946704		SimpleArgument(Our cookie dough,List([0, 16)))	Relation(is widely used by,List([17, 31), [32, 34)))	SimpleArgument(churches for fund,List([35, 52)))	Our cookie dough is widely used by schools and churches for fund raising purposes.
0.6601056213946704		SimpleArgument(Our cookie dough,List([0, 16)))	Relation(is widely used by,List([17, 31), [32, 34)))	SimpleArgument(schools for fund raising purposes,List([35, 68)))	Our cookie dough is widely used by schools and churches for fund raising purposes.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(deliver,List([3, 10)))	SimpleArgument(a wide variety of gifts for the business community,List([11, 61)))	We ship and deliver a wide variety of custom themed / logo cookies and gifts for any gifting occasion and for the business community.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(deliver,List([3, 10)))	SimpleArgument(a wide variety of gifts for any gifting occasion,List([11, 59)))	We ship and deliver a wide variety of custom themed / logo cookies and gifts for any gifting occasion and for the business community.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(deliver,List([3, 10)))	SimpleArgument(a wide variety of custom themed / logo cookies for the business community,List([11, 84)))	We ship and deliver a wide variety of custom themed / logo cookies and gifts for any gifting occasion and for the business community.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(deliver a wide variety of custom themed / logo cookies for,List([3, 10), [11, 57), [58, 61)))	TemporalArgument(any gifting occasion,List([62, 82)))	We ship and deliver a wide variety of custom themed / logo cookies and gifts for any gifting occasion and for the business community.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(deliver,List([3, 10)))	SimpleArgument(a wide variety of custom themed / logo cookies,List([11, 57)))	We ship and deliver a wide variety of custom themed / logo cookies and gifts for any gifting occasion and for the business community.
0.2430782868395426		SimpleArgument(We,List([0, 2)))	Relation(ship,List([3, 7)))		We ship and deliver a wide variety of custom themed / logo cookies and gifts for any gifting occasion and for the business community.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(cater,List([3, 8)))	SimpleArgument(our sweets,List([9, 19)))	We cater our sweets in large quantities for parties and events.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(deliver custom designed desserts throughout,List([3, 10), [11, 35), [36, 46)))	SpatialArgument(S. Orange County,List([47, 63)))	We deliver custom designed wedding cakes and desserts throughout S. Orange County.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(deliver,List([3, 10)))	SimpleArgument(custom designed desserts,List([11, 35)))	We deliver custom designed wedding cakes and desserts throughout S. Orange County.
